cps_area,convictions,population,convictions_per_000
Cymru/Wales,13968,3006500,4.64593381
East Midlands,17060,4481400,3.806846075
East of England,12900,4109500,3.139068013
Mersey-Cheshire,11791,2362700,4.990476997
North East,12162,2606600,4.665848231
North West,16914,4573100,3.698585205
South East,12227,4385400,2.788115109
South West,10950,3897100,2.809781632
Thames and Chiltern,12765,3975800,3.210674581
Wessex,10341,3260800,3.171307655
Yorkshire and Humberside,20060,5301200,3.784048895
London,21853,7825200,2.792644277
West Midlands,22586,5455200,4.140269834
